source,target,weight
said,service,2435
said,well,1610
service,waitress,1500
service,well,4478
around,back,2554
around,came,1682
around,could,1522
around,even,1847
around,time,3368
around,would,2423
back,came,4574
back,could,3582
back,day,3404
back,even,4268
back,get,6504
back,hour,2109
back,left,1836
back,let,1506
back,made,3259
back,nothing,1580
back,probably,1560
back,small,2075
back,thing,3197
back,though,2018
back,time,8290
back,wanted,2028
back,would,6563
came,could,2240
came,day,1885
came,even,2602
came,experience,2017
came,get,3456
came,made,1916
came,one,3875
came,pretty,1689
came,thing,1794
came,time,4472
came,would,3751
could,day,2116
could,even,2651
could,experience,1862
could,get,3857
could,made,1919
could,one,4065
could,thing,2029
could,time,4093
could,told,1572
could,would,4081
customer,even,1531
customer,get,2080
customer,one,2102
customer,time,2479
customer,would,1883
day,even,2390
day,experience,1700
day,get,3657
day,made,1839
day,thing,1730
done,get,1687
even,experience,2209
even,hour,1610
even,made,2300
even,one,4895
even,thing,2365
even,though,2727
even,time,5401
experience,made,1951
experience,thing,1645
experience,would,3196
full,get,1545
full,one,1567
full,time,1763
get,getting,1662
get,left,1642
get,let,1718
get,made,3013
get,nothing,1599
get,probably,1539
get,small,2302
get,thing,3874
get,though,2302
get,time,8781
get,told,2074
get,wanted,1849
getting,one,1522
getting,time,1803
hour,would,2204
left,one,1871
left,time,1972
left,would,1679
let,one,1689
let,time,1794
made,one,3406
made,thing,1681
made,time,3788
made,would,3051
nothing,one,1651
nothing,time,1772
nothing,would,1566
one,probably,1759
one,small,2443
one,thing,4268
one,though,2337
one,told,2127
one,wanted,1939
pretty,thing,1663
pretty,time,3335
probably,time,1760
probably,would,1616
small,time,2457
small,would,2152
thing,time,4049
thing,would,3239
though,time,2483
though,would,2106
three,time,1585
time,told,2371
time,wanted,2225
told,would,2417
wanted,would,1998
dinner,great,2751
dinner,like,2061
dinner,menu,1605
great,happy,2233
great,location,2545
great,love,5173
great,taste,2140
happy,hour,1838
happy,like,1603
like,love,3739
like,taste,2702
love,menu,1751
appetizer,food,1885
appetizer,good,1778
food,id,1621
good,id,1903
service,slow,1605
better,first,1616
better,great,3082
better,im,1780
better,like,3252
better,little,1664
better,make,1846
better,much,2403
better,would,2868
excellent,great,2720
favorite,like,2043
first,im,2326
first,like,4004
first,little,2073
first,make,2218
first,much,1999
first,would,3709
going,little,1524
going,make,1813
great,hot,1999
great,little,4597
great,make,4520
great,super,2286
hot,like,1906
im,like,4600
im,little,2313
im,make,2448
im,much,2131
im,would,3327
like,little,4171
like,super,1651
little,make,2191
little,much,2161
little,would,3524
make,much,2064
make,would,3552
back,definitely,5060
back,friendly,3548
back,home,1914
back,nice,4099
back,perfect,1512
breakfast,great,1992
definitely,friendly,2285
definitely,great,4952
definitely,place,5436
friendly,great,6058
friendly,nice,2740
fry,great,1859
fry,place,2262
great,home,1949
great,nice,6032
home,place,2409
nice,place,6940
perfect,place,2403
atmosphere,back,1758
atmosphere,food,3586
atmosphere,service,2397
back,big,1552
back,delicious,3368
back,restaurant,3776
back,thats,1530
big,food,2224
big,service,1556
definitely,food,5096
definitely,pretty,1652
definitely,restaurant,2133
definitely,service,3497
delicious,food,6449
delicious,restaurant,2626
delicious,service,4011
food,thats,2027
food,top,2062
pretty,restaurant,1789
restaurant,service,5062
service,top,1628
always,food,4877
always,go,3338
always,menu,1514
always,time,4438
always,would,2208
big,go,1545
big,time,1940
big,would,1535
could,eat,1560
could,food,4399
could,go,3226
could,make,2231
could,menu,1738
could,still,1613
could,want,1567
dessert,food,1725
eat,go,2385
eat,menu,1549
eat,would,2360
every,food,2844
every,go,2366
every,time,3868
every,would,1840
everyone,food,1766
everyone,time,1625
food,loved,1925
food,make,5090
food,meal,4504
food,menu,5810
food,recommend,3597
food,server,3726
food,something,2974
