antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"great, like, one",get,0.028,0.219,0.02,0.7142857142857143,3.2615786040443577,1.0,0.013868,2.7335000000000003,0.7133744855967079,0.0881057268722467,0.6341686482531553,0.40280495759947815
"get, great, one",like,0.033,0.209,0.02,0.6060606060606061,2.899811512251704,1.0,0.013103,2.007923076923077,0.6775077559462255,0.09009009009009009,0.5019729533003869,0.3508771929824561
"get, like, one",great,0.04,0.349,0.02,0.5,1.4326647564469914,1.0,0.00604,1.302,0.3145833333333334,0.054200542005420065,0.2319508448540707,0.2786532951289398
"like, one, place",time,0.039,0.273,0.024,0.6153846153846154,2.2541561003099466,1.0,0.013353,1.8902,0.5789542143600416,0.08333333333333334,0.4709554544492647,0.3516483516483517
"like, one, time",place,0.038,0.369,0.024,0.6315789473684211,1.7115960633290546,1.0,0.009978,1.712714285714286,0.4321725571725572,0.06266318537859009,0.4161314538326801,0.3483097988874626
"get, like, time",one,0.039,0.224,0.023,0.5897435897435898,2.6327838827838828,1.0,0.014263999999999999,1.8915000000000002,0.6453422612315071,0.09583333333333333,0.471319058947925,0.3462110805860806
"get, like, one",time,0.04,0.273,0.023,0.575,2.106227106227106,1.0,0.012079999999999999,1.7105882352941175,0.5471014492753623,0.07931034482758621,0.41540577716643734,0.3296245421245421
"like, one, time",get,0.038,0.219,0.023,0.6052631578947368,2.7637587118481135,1.0,0.014678,1.9785333333333335,0.6633824459911416,0.09829059829059829,0.4945751061392277,0.35514299447248254
"get, one, time",like,0.036,0.209,0.023,0.638888888888889,3.0568846358320045,1.0,0.015476,2.190461538461539,0.6979974742918997,0.1036036036036036,0.5434752071920215,0.37446836788942056
"good, like, time",one,0.044,0.224,0.024,0.5454545454545455,2.4350649350649354,1.0,0.014144,1.7072000000000003,0.6164574616457462,0.09836065573770492,0.41424554826616694,0.3262987012987013
"good, like, one",time,0.04,0.273,0.024,0.6,2.1978021978021975,1.0,0.01308,1.8175,0.5677083333333334,0.08304498269896195,0.4497936726272352,0.34395604395604396
"good, one, time",like,0.046,0.209,0.024,0.5217391304347826,2.49635947576451,1.0,0.014386000000000001,1.653909090909091,0.6283193570929421,0.10389610389610389,0.3953718463145166,0.31828583315997505
"like, one, time",good,0.038,0.358,0.024,0.6315789473684211,1.7641870038224055,1.0,0.010396,1.7425714285714289,0.4502772002772003,0.06451612903225808,0.42613543203803916,0.3493090267568363
"food, u",good,0.059,0.358,0.033,0.5593220338983051,1.562352049995266,1.0,0.011878000000000003,1.4568461538461541,0.38250732618426564,0.0859375,0.31358572258302986,0.32575040242401293
"good, u",food,0.059,0.359,0.033,0.5593220338983051,1.5580000944242485,1.0,0.011819000000000003,1.4545769230769232,0.3806073487263711,0.08571428571428572,0.3125148734762951,0.3256220197346679
"food, u",place,0.059,0.369,0.03,0.5084745762711864,1.37797988149373,1.0,0.008229,1.2837586206896552,0.2914984059511158,0.07537688442211055,0.2210373633457788,0.29488769463965825
"place, u",food,0.059,0.359,0.03,0.5084745762711864,1.4163637222038619,1.0,0.008819,1.304103448275862,0.31239815798795606,0.07731958762886597,0.23318966656971363,0.2960200179406071
"place, u",good,0.059,0.358,0.03,0.5084745762711864,1.4203200454502414,1.0,0.008878,1.3061379310344827,0.3144881331916401,0.07751937984496124,0.23438407518876392,0.2961367294763753
"good, u",place,0.059,0.369,0.03,0.5084745762711864,1.37797988149373,1.0,0.008229,1.2837586206896552,0.2914984059511158,0.07537688442211055,0.2210373633457788,0.29488769463965825
"like, u",place,0.042,0.369,0.027,0.6428571428571428,1.7421602787456445,1.0,0.011501999999999998,1.7667999999999997,0.4446764091858037,0.07031250000000001,0.4340049807561692,0.3580139372822299
"like, u",food,0.042,0.359,0.022,0.5238095238095237,1.4590794535084226,1.0,0.006921999999999998,1.3460999999999999,0.32843044220914774,0.05804749340369394,0.2571131416685238,0.2925454304284387
"like, u",get,0.042,0.219,0.028,0.6666666666666666,3.0441400304414,1.0,0.018802,2.343,0.7009394572025052,0.12017167381974249,0.5731967562953478,0.3972602739726027
