support,itemsets
0.0332,frozenset({'parking'})
0.0278,frozenset({'seating'})
0.0328,frozenset({'stay'})
0.05,frozenset({'away'})
0.0404,frozenset({'free'})
0.029,frozenset({'pay'})
0.0287,frozenset({'car'})
0.0281,frozenset({'started'})
0.0247,frozenset({'issue'})
0.0245,frozenset({'ago'})
0.0605,frozenset({'5'})
0.0475,frozenset({'found'})
0.0299,frozenset({'less'})
0.0216,frozenset({'working'})
0.0873,frozenset({'table'})
0.0324,frozenset({'door'})
0.0223,frozenset({'life'})
0.0374,frozenset({'disappointed'})
0.0654,frozenset({'room'})
0.0456,frozenset({'anything'})
0.0422,frozenset({'helpful'})
0.0216,frozenset({'plenty'})
0.0207,frozenset({'type'})
0.0437,frozenset({'meat'})
0.04,frozenset({'shrimp'})
0.0331,frozenset({'egg'})
0.0315,frozenset({'potato'})
0.0307,frozenset({'point'})
0.0285,frozenset({'steak'})
0.0242,frozenset({'decor'})
0.0214,frozenset({'worst'})
0.0951,frozenset({'drink'})
0.0564,frozenset({'asked'})
0.0347,frozenset({'decided'})
0.0346,frozenset({'looked'})
0.0329,frozenset({'walked'})
0.0325,frozenset({'reason'})
0.0271,frozenset({'person'})
0.0265,frozenset({'arrived'})
0.0261,frozenset({'cake'})
0.0259,frozenset({'fine'})
0.0257,frozenset({'plus'})
0.0218,frozenset({'short'})
0.0215,frozenset({'terrible'})
0.0215,frozenset({'chocolate'})
0.0212,frozenset({'seat'})
0.0481,frozenset({'coffee'})
0.0302,frozenset({'walk'})
0.026,frozenset({'stopped'})
0.0237,frozenset({'morning'})
0.023,frozenset({'sunday'})
0.0323,frozenset({'especially'})
0.0269,frozenset({'may'})
0.0231,frozenset({'impressed'})
0.023,frozenset({'15'})
0.0299,frozenset({'live'})
0.0283,frozenset({'sit'})
0.0793,frozenset({'sure'})
0.0693,frozenset({'side'})
0.038,frozenset({'ask'})
0.0311,frozenset({'cream'})
0.0298,frozenset({'taco'})
0.0276,frozenset({'extra'})
0.0241,frozenset({'chip'})
0.0226,frozenset({'priced'})
0.0342,frozenset({'extremely'})
0.0433,frozenset({'coming'})
0.033,frozenset({'cool'})
0.0244,frozenset({'waited'})
0.04,frozenset({'ok'})
0.0312,frozenset({'cold'})
0.0565,frozenset({'dish'})
0.032,frozenset({'return'})
0.0243,frozenset({'late'})
0.0242,frozenset({'yelp'})
0.035,frozenset({'absolutely'})
0.0302,frozenset({'hand'})
0.0238,frozenset({'style'})
0.0234,frozenset({'leave'})
0.0227,frozenset({'stuff'})
0.0225,frozenset({'change'})
0.0404,frozenset({'old'})
0.0768,frozenset({'friend'})
0.031,frozenset({'kid'})
0.023,frozenset({'variety'})
0.0316,frozenset({'finally'})
0.0268,frozenset({'reasonable'})
0.038,frozenset({'used'})
0.0219,frozenset({'dry'})
0.0268,frozenset({'real'})
0.0243,frozenset({'saturday'})
0.0427,frozenset({'portion'})
0.0336,frozenset({'high'})
0.0267,frozenset({'either'})
0.0262,frozenset({'start'})
0.0246,frozenset({'20'})
0.0218,frozenset({'crab'})
0.0211,frozenset({'often'})
0.0858,frozenset({'say'})
0.0353,frozenset({'shop'})
0.0323,frozenset({'offer'})
0.0289,frozenset({'whole'})
0.0275,frozenset({'doesnt'})
0.0248,frozenset({'ate'})
0.0444,frozenset({'week'})
0.0242,frozenset({'expect'})
0.0372,frozenset({'must'})
0.0233,frozenset({'st'})
0.0255,frozenset({'month'})
0.0356,frozenset({'wont'})
0.0228,frozenset({'yet'})
0.0303,frozenset({'use'})
0.0301,frozenset({'1'})
0.0276,frozenset({'ice'})
0.0232,frozenset({'employee'})
0.0208,frozenset({'saw'})
0.0259,frozenset({'seated'})
0.0211,frozenset({'entire'})
0.0243,frozenset({'regular'})
0.0231,frozenset({'mean'})
0.0657,frozenset({'since'})
0.0386,frozenset({'far'})
