support,itemsets
0.039,"food, get, like"
0.046,"get, like, place"
0.042,"get, good, like"
0.024,"food, get, like, place"
0.022,"food, get, good, like"
0.029,"get, good, like, place"
0.041,"food, like, service"
0.028,"get, like, service"
0.032,"like, place, service"
0.034,"good, like, service"
0.027,"great, like, service"
0.022,"like, one, service"
0.023,"like, service, time"
0.021,"food, like, place, service"
0.025,"food, good, like, service"
0.022,"food, great, like, service"
0.04,"get, like, one"
0.04,"good, like, one"
0.039,"like, one, place"
0.028,"great, like, one"
0.027,"food, like, one"
0.038,"like, one, time"
0.022,"get, good, like, one"
0.025,"good, like, one, place"
0.023,"get, like, one, place"
0.02,"get, great, like, one"
0.024,"like, one, place, time"
0.023,"get, like, one, time"
0.024,"good, like, one, time"
0.059,"food, u"
0.059,"place, u"
0.042,"like, u"
0.046,"get, u"
0.041,"great, u"
0.029,"little, u"
0.025,"also, u"
0.056,"time, u"
0.023,"best, u"
0.036,"come, u"
0.029,"restaurant, u"
0.02,"nice, u"
0.059,"good, u"
0.041,"got, u"
0.04,"u, would"
0.04,"one, u"
0.036,"back, u"
0.026,"make, u"
0.045,"service, u"
0.022,"even, u"
0.04,"go, u"
0.025,"u, well"
0.032,"really, u"
0.033,"food, good, u"
0.03,"food, place, u"
0.03,"good, place, u"
0.027,"like, place, u"
0.022,"food, like, u"
0.028,"get, like, u"
0.023,"like, time, u"
0.022,"good, like, u"
0.029,"food, get, u"
0.023,"get, place, u"
0.027,"get, time, u"
0.03,"get, good, u"
0.02,"food, get, good, u"
0.024,"food, great, u"
0.02,"great, place, u"
0.023,"great, time, u"
0.031,"place, time, u"
0.03,"good, time, u"
0.028,"food, time, u"
0.027,"come, food, u"
0.022,"come, place, u"
0.021,"come, good, u"
0.021,"come, get, u"
0.024,"food, restaurant, u"
0.02,"get, restaurant, u"
0.024,"got, place, u"
0.023,"got, time, u"
0.023,"good, got, u"
0.021,"food, got, u"
0.027,"place, u, would"
0.025,"time, u, would"
0.023,"food, u, would"
0.021,"go, u, would"
0.021,"like, u, would"
0.02,"get, u, would"
0.026,"one, time, u"
0.024,"one, place, u"
0.024,"good, one, u"
0.021,"one, u, would"
0.021,"food, one, u"
0.021,"one, service, u"
0.021,"like, one, u"
0.021,"get, one, u"
0.022,"back, place, u"
0.022,"back, food, u"
0.02,"back, good, u"
0.025,"food, service, u"
0.02,"place, service, u"
0.021,"good, service, u"
0.02,"service, time, u"
0.027,"go, time, u"
0.027,"go, place, u"
0.02,"go, like, u"
0.02,"food, go, u"
0.02,"get, really, u"
0.038,"day, place"
0.036,"day, like"
0.03,"day, food"
0.02,"day, u"
0.038,"day, time"
0.024,"day, make"
0.024,"back, day"
0.021,"day, got"
0.021,"also, day"
0.032,"day, get"
0.045,"day, good"
0.029,"day, great"
0.028,"day, would"
0.027,"day, one"
0.023,"come, day"
0.021,"best, day"
0.021,"day, service"
0.022,"came, day"
0.021,"day, really"
