antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'good', 'like', 'service'})",frozenset({'food'}),0.0342,0.3643,0.0201,0.587719298245614,1.6132838271908152,1.0,0.007640939999999999,1.541910638297872,0.39360765029686934,0.0531183932346723,0.351453984970291,0.3214468025677699
"frozenset({'food', 'like', 'service'})",frozenset({'good'}),0.0335,0.3481,0.0201,0.6,1.7236426314277504,1.0,0.008438649999999999,1.6297499999999998,0.4343852388342817,0.055601659751037334,0.3864089584292069,0.32887101407641484
frozenset({'restaurant'}),frozenset({'food'}),0.135,0.3643,0.0821,0.6081481481481481,1.669360823903783,1.0,0.032919500000000004,1.6222967863894135,0.46354720381883086,0.19678811121764142,0.38358997663701133,0.4167559296875794
"frozenset({'good', 'restaurant'})",frozenset({'food'}),0.0603,0.3643,0.0405,0.6716417910447762,1.8436502636419878,1.0,0.01853271,1.9359954545454547,0.48696155983588146,0.1054412913303827,0.48346986164035893,0.39140695097119405
"frozenset({'restaurant', 'time'})",frozenset({'food'}),0.0451,0.3643,0.0302,0.6696230598669624,1.8381088659537808,1.0,0.013770069999999999,1.9241657718120806,0.4774977304235595,0.07964135021097048,0.4802942580886619,0.37626088486073894
"frozenset({'restaurant', 'like'})",frozenset({'food'}),0.0436,0.3643,0.0274,0.6284403669724771,1.7250627696197558,1.0,0.011516519999999999,1.7108962962962961,0.43947192482759245,0.07201051248357423,0.41551103818228263,0.35182655186394923
"frozenset({'restaurant', 'like'})",frozenset({'good'}),0.0436,0.3481,0.0231,0.5298165137614679,1.522023883256156,1.0,0.007922839999999999,1.3864799999999997,0.3586157325178655,0.0626695604991861,0.27874906237378105,0.29808837753571815
"frozenset({'restaurant', 'like'})",frozenset({'place'}),0.0436,0.3787,0.0231,0.5298165137614679,1.3990401736505622,1.0,0.0065886799999999995,1.3213990243902438,0.2982269368718553,0.05786573146292585,0.24322632184366313,0.2954073326663162
"frozenset({'restaurant', 'service'})",frozenset({'food'}),0.0505,0.3643,0.0346,0.6851485148514851,1.880726090726009,1.0,0.016202849999999998,2.01904716981132,0.4931969061903587,0.09100473435034193,0.50471687093202,0.3900625912165743
"frozenset({'restaurant', 'back'})",frozenset({'food'}),0.0371,0.3643,0.0235,0.6334231805929919,1.7387405451358546,1.0,0.009984469999999999,1.7341522058823524,0.4412411089726734,0.062185763429478694,0.4233493481091582,0.348965227408766
"frozenset({'would', 'restaurant'})",frozenset({'food'}),0.0379,0.3643,0.0252,0.6649076517150395,1.8251651158798778,1.0,0.011393029999999998,1.8970889763779522,0.4699141098423917,0.06684350132625995,0.4728765954302966,0.3670407048034434
"frozenset({'would', 'restaurant'})",frozenset({'place'}),0.0379,0.3787,0.02,0.5277044854881267,1.3934631251336855,1.0,0.005647269999999999,1.3154899441340782,0.29348664380002076,0.05042864346949068,0.23982695233884868,0.2902583689653467
"frozenset({'get', 'restaurant'})",frozenset({'food'}),0.0365,0.3643,0.0223,0.6109589041095891,1.6770763220136948,1.0,0.00900305,1.6340176056338027,0.41901838634835165,0.05891677675033025,0.3880114898687889,0.33608609493154445
"frozenset({'get', 'restaurant'})",frozenset({'place'}),0.0365,0.3787,0.02,0.5479452054794521,1.4469110258237448,1.0,0.006177450000000003,1.3743909090909092,0.3205734302023872,0.05060728744939272,0.27240496616683113,0.3003787289610094
"frozenset({'place', 'restaurant'})",frozenset({'food'}),0.0576,0.3643,0.0366,0.6354166666666667,1.7442126452557418,1.0,0.01561632,1.743634285714286,0.4527540426953157,0.0949909161692188,0.4264852393686751,0.3679416575166987
